# x, TezTiz=5_km3, TezTiz=5_bm, TezTiz=2_km3, TezTiz=2_bm, TezTiz=1_km3, TezTiz=1_bm
0.15749, 0.001568, 0.001974, -0.059492, -0.063774, -0.068237, 0.909305
0.15899, 0.00353, 0.003682, -0.058685, -0.062853, -0.067858, 0.892636
0.16795, 0.014214, 0.013908, -0.053836, -0.057332, -0.065582, 0.796689
0.17915, 0.025781, 0.026525, -0.047753, -0.050436, -0.062731, 0.686133
0.18438, 0.031265, 0.032206, -0.044903, -0.04722, -0.061398, 0.637973
0.19073, 0.038489, 0.039331, -0.041438, -0.043322, -0.059779, 0.582447
0.1967, 0.045698, 0.046635, -0.038164, -0.039655, -0.058251, 0.53296
0.20753, 0.058136, 0.059566, -0.032204, -0.033025, -0.05548, 0.45006
0.21313, 0.064094, 0.065858, -0.029097, -0.029597, -0.054041, 0.410402
0.22771, 0.078032, 0.081431, -0.020935, -0.020718, -0.05029, 0.31739
0.23143, 0.081949, 0.085319, -0.018824, -0.018459, -0.04933, 0.295869
0.24713, 0.099682, 0.101557, -0.009721, -0.008993, -0.045266, 0.214595
0.25347, 0.107176, 0.10803, -0.005902, -0.005206, -0.043617, 0.1859
0.26019, 0.114681, 0.114759, -0.001725, -0.001224, -0.041864, 0.157956
0.26512, 0.119652, 0.119583, 0.001403, 0.00167, -0.040578, 0.139054
0.26916, 0.123635, 0.123525, 0.003973, 0.004035, -0.03952, 0.124497
0.26998, 0.124447, 0.124326, 0.004491, 0.004516, -0.039305, 0.121642
0.27514, 0.12968, 0.129355, 0.007707, 0.007533, -0.037951, 0.104503
0.28083, 0.136002, 0.134897, 0.011166, 0.010882, -0.036453, 0.0871
0.28858, 0.144609, 0.142396, 0.015755, 0.01548, -0.034406, 0.065887
0.29356, 0.149771, 0.147169, 0.018658, 0.018453, -0.033088, 0.053713
0.29719, 0.153462, 0.150623, 0.020761, 0.020632, -0.032123, 0.045512
0.30141, 0.157742, 0.154603, 0.023193, 0.023173, -0.030997, 0.036663
0.31062, 0.167179, 0.16306, 0.028383, 0.028697, -0.028531, 0.019897
0.31713, 0.174097, 0.168828, 0.032037, 0.032573, -0.026778, 0.010019
0.32185, 0.179206, 0.172909, 0.034699, 0.035363, -0.0255, 0.003813
0.3306, 0.188556, 0.180275, 0.039634, 0.040456, -0.023117, -0.021376
0.33154, 0.189536, 0.181052, 0.040164, 0.040997, -0.02286, -0.021308
0.3469, 0.204795, 0.193215, 0.048796, 0.049565, -0.018615, -0.01841
0.35358, 0.211115, 0.1981, 0.052522, 0.053147, -0.016741, -0.016734
0.3553, 0.212712, 0.199306, 0.053474, 0.054055, -0.016257, -0.016284
0.36765, 0.223927, 0.207452, 0.060218, 0.060478, -0.012731, -0.012889
0.37047, 0.226448, 0.209204, 0.061721, 0.061924, -0.011915, -0.012085
0.37302, 0.228732, 0.210767, 0.06307, 0.063229, -0.011172, -0.011349
0.38861, 0.242498, 0.219929, 0.07109, 0.071128, -0.006541, -0.006738
0.39703, 0.24956, 0.224627, 0.075331, 0.075345, -0.003967, -0.004187
0.39918, 0.251302, 0.225796, 0.076407, 0.076415, -0.003303, -0.003531
0.40919, 0.259073, 0.230949, 0.081379, 0.081349, -0.000171, -0.000458
0.41662, 0.26449, 0.234337, 0.085026, 0.084906, 0.002174, 0.001836
0.42249, 0.26857, 0.236725, 0.087884, 0.087581, 0.00403, 0.003655
0.43022, 0.273659, 0.239542, 0.091614, 0.090894, 0.00646, 0.006057
0.43048, 0.27382, 0.239629, 0.091735, 0.091001, 0.006539, 0.006135
0.43091, 0.274092, 0.239778, 0.091941, 0.091183, 0.006673, 0.006269
0.43764, 0.278216, 0.242011, 0.095144, 0.094015, 0.008759, 0.00836
0.45133, 0.285962, 0.246205, 0.101524, 0.099663, 0.012899, 0.012595
0.45332, 0.287041, 0.24679, 0.102442, 0.10047, 0.013493, 0.013211
0.45754, 0.289294, 0.247968, 0.104367, 0.102158, 0.014736, 0.014506
0.46236, 0.291843, 0.249124, 0.10655, 0.104058, 0.016145, 0.015981
0.47681, 0.29879, 0.251157, 0.11297, 0.109553, 0.020289, 0.020345
0.47775, 0.299199, 0.251238, 0.113383, 0.109902, 0.020556, 0.020627
0.48329, 0.301514, 0.251648, 0.115785, 0.111918, 0.022113, 0.022265
0.48481, 0.302128, 0.251744, 0.116439, 0.112464, 0.022538, 0.022711
0.50056, 0.307922, 0.252417, 0.122991, 0.117854, 0.026857, 0.027186
0.50427, 0.3091, 0.252496, 0.124463, 0.119041, 0.027854, 0.028197
0.50546, 0.309457, 0.252514, 0.12493, 0.119415, 0.028172, 0.028518
0.51364, 0.311567, 0.25253, 0.128042, 0.121874, 0.030325, 0.030667
0.51805, 0.312479, 0.252428, 0.12967, 0.123129, 0.031462, 0.031789
0.52682, 0.314055, 0.251775, 0.132829, 0.125505, 0.03367, 0.033953
0.53165, 0.31494, 0.251002, 0.134531, 0.126767, 0.034856, 0.035111
0.53237, 0.315058, 0.250857, 0.134782, 0.126954, 0.03503, 0.035281
0.53986, 0.315887, 0.249098, 0.13738, 0.128871, 0.036827, 0.037036
0.54132, 0.315967, 0.248748, 0.137881, 0.129237, 0.037171, 0.037373
0.55156, 0.316035, 0.246409, 0.141367, 0.131722, 0.03955, 0.039713
0.56162, 0.315591, 0.243974, 0.144708, 0.133983, 0.041823, 0.041969
0.56497, 0.315378, 0.243087, 0.145797, 0.134693, 0.042568, 0.042712
0.57095, 0.314931, 0.241364, 0.147709, 0.135914, 0.043888, 0.044035
0.57247, 0.314805, 0.240893, 0.148188, 0.136216, 0.044222, 0.044372
0.59007, 0.312965, 0.234545, 0.153301, 0.139418, 0.048003, 0.048227
0.59722, 0.311972, 0.231619, 0.155103, 0.140561, 0.049501, 0.049786
0.60221, 0.311151, 0.22951, 0.156266, 0.141297, 0.05053, 0.050846
0.60316, 0.310977, 0.229101, 0.156481, 0.141432, 0.050726, 0.051043
0.60815, 0.309964, 0.226952, 0.157568, 0.142109, 0.051741, 0.052024
0.62192, 0.3059, 0.220937, 0.160353, 0.143747, 0.054476, 0.054381
0.63171, 0.301878, 0.216575, 0.162215, 0.144734, 0.056354, 0.05593
0.63187, 0.30181, 0.216502, 0.162245, 0.14475, 0.056384, 0.055955
0.64196, 0.297687, 0.21188, 0.16411, 0.145638, 0.058256, 0.057507
0.64588, 0.296097, 0.210031, 0.164828, 0.145943, 0.058965, 0.0581
0.65741, 0.291195, 0.204424, 0.166894, 0.146688, 0.060978, 0.059806
0.6594, 0.290273, 0.203434, 0.167234, 0.146793, 0.061313, 0.060094
0.66545, 0.287255, 0.200394, 0.168222, 0.147068, 0.062314, 0.060959
0.66863, 0.285551, 0.198789, 0.168709, 0.147186, 0.062828, 0.061405
0.67732, 0.280652, 0.194405, 0.169905, 0.147427, 0.064191, 0.062587
0.68001, 0.279124, 0.193051, 0.170235, 0.147478, 0.064601, 0.06294
0.69198, 0.272377, 0.187055, 0.171477, 0.14758, 0.066366, 0.064395
0.69611, 0.270038, 0.185001, 0.171828, 0.14757, 0.066953, 0.064849
0.69756, 0.269212, 0.184283, 0.171943, 0.147561, 0.067157, 0.065002
0.7037, 0.265624, 0.181255, 0.172394, 0.14749, 0.068006, 0.065614
0.71378, 0.259424, 0.176371, 0.173027, 0.147265, 0.069359, 0.066514
0.72537, 0.252113, 0.170983, 0.173629, 0.146856, 0.070862, 0.067466
0.72649, 0.251407, 0.170485, 0.173681, 0.146809, 0.071004, 0.067557
0.73585, 0.24546, 0.166433, 0.174084, 0.146365, 0.072206, 0.068322
0.7412, 0.242059, 0.164206, 0.174288, 0.146074, 0.072924, 0.068755
0.74761, 0.237984, 0.161569, 0.174509, 0.145688, 0.073766, 0.069266
0.75235, 0.23497, 0.159611, 0.174658, 0.145371, 0.074219, 0.069637
0.7524, 0.234934, 0.159587, 0.17466, 0.145367, 0.074224, 0.069641
0.76509, 0.226891, 0.154233, 0.174954, 0.144377, 0.075176, 0.070586
0.77684, 0.219542, 0.149262, 0.174933, 0.143312, 0.076011, 0.071364
0.77786, 0.218911, 0.148834, 0.174913, 0.143215, 0.076083, 0.071426
0.78057, 0.217237, 0.147699, 0.174846, 0.142954, 0.076274, 0.071582
0.78332, 0.215553, 0.146558, 0.174759, 0.142685, 0.076467, 0.071731
0.80147, 0.204748, 0.13924, 0.173807, 0.140818, 0.077733, 0.072484
0.81137, 0.199165, 0.135528, 0.173113, 0.139733, 0.078417, 0.07275
0.81835, 0.195365, 0.133138, 0.172575, 0.13893, 0.078896, 0.07291
0.81977, 0.194608, 0.132679, 0.172461, 0.138762, 0.078993, 0.072942
0.82486, 0.191928, 0.131089, 0.172041, 0.138145, 0.07934, 0.07306
0.83464, 0.186917, 0.128097, 0.171182, 0.136866, 0.08, 0.073275
0.84945, 0.179643, 0.123342, 0.169758, 0.134683, 0.080974, 0.073502
0.85472, 0.177128, 0.121645, 0.169213, 0.133857, 0.081304, 0.073545
0.8626, 0.17345, 0.119173, 0.168363, 0.132614, 0.081726, 0.073569
0.8628, 0.173356, 0.11911, 0.16834, 0.132582, 0.081734, 0.073569
0.86388, 0.172861, 0.118782, 0.168221, 0.132412, 0.081775, 0.073569
0.87944, 0.165891, 0.114261, 0.166381, 0.129969, 0.08168, 0.073492
0.88776, 0.162318, 0.111969, 0.165312, 0.12866, 0.081672, 0.073398
0.89246, 0.160341, 0.110689, 0.164677, 0.127916, 0.081687, 0.073329
0.90385, 0.15568, 0.107615, 0.163054, 0.126097, 0.081749, 0.073118
0.90542, 0.155052, 0.107197, 0.162822, 0.125845, 0.081759, 0.073084
0.92279, 0.148276, 0.102683, 0.160113, 0.122999, 0.081885, 0.072642
0.92699, 0.146683, 0.101631, 0.159424, 0.122294, 0.081915, 0.072519
0.94544, 0.139894, 0.097216, 0.156269, 0.119136, 0.082031, 0.071917
0.95274, 0.13729, 0.09555, 0.154973, 0.117867, 0.082055, 0.071653
0.95711, 0.13575, 0.094572, 0.154185, 0.117103, 0.082058, 0.071488
0.96528, 0.132926, 0.092785, 0.152695, 0.115672, 0.082029, 0.071162
0.97969, 0.128163, 0.089771, 0.150025, 0.113161, 0.081831, 0.070519
0.98133, 0.127641, 0.089439, 0.149719, 0.112878, 0.081797, 0.07044
0.99644, 0.123013, 0.086439, 0.146884, 0.110315, 0.081392, 0.069676
0.99836, 0.122448, 0.086064, 0.146523, 0.109994, 0.081333, 0.069576
1.00055, 0.121811, 0.085637, 0.14611, 0.109629, 0.081265, 0.069461
1.01318, 0.118254, 0.083187, 0.143721, 0.107529, 0.08084, 0.068782
1.02598, 0.114828, 0.080755, 0.141286, 0.105376, 0.080355, 0.068057
1.03996, 0.111223, 0.078206, 0.138613, 0.102964, 0.079762, 0.067211
1.061, 0.105972, 0.074668, 0.134568, 0.09931, 0.07875, 0.065823
1.066, 0.104748, 0.073872, 0.133605, 0.098457, 0.078488, 0.065471
1.06988, 0.103802, 0.07326, 0.132856, 0.097803, 0.078279, 0.065193
1.07673, 0.102144, 0.07219, 0.131535, 0.096678, 0.0779, 0.064694
1.08008, 0.101335, 0.071668, 0.130888, 0.09614, 0.077708, 0.064446
1.08713, 0.099642, 0.070575, 0.129528, 0.095036, 0.077295, 0.063917
1.10589, 0.095184, 0.067712, 0.125909, 0.092181, 0.07613, 0.062465
1.11575, 0.093014, 0.066245, 0.124013, 0.090697, 0.075486, 0.06168
1.11979, 0.092168, 0.065652, 0.123239, 0.090089, 0.075217, 0.061354
1.12402, 0.091298, 0.065035, 0.122427, 0.089451, 0.074931, 0.061008
1.14755, 0.086691, 0.061734, 0.117944, 0.085905, 0.073285, 0.05921
1.14931, 0.086357, 0.061496, 0.117611, 0.08564, 0.073158, 0.05907
1.16603, 0.083227, 0.059308, 0.114461, 0.083124, 0.07193, 0.057704
1.17466, 0.081631, 0.058227, 0.112844, 0.081827, 0.07128, 0.056973
1.19674, 0.077595, 0.055576, 0.10874, 0.078521, 0.069566, 0.055029
1.22034, 0.073334, 0.05286, 0.104399, 0.075013, 0.067652, 0.052882
1.22718, 0.072111, 0.052088, 0.103151, 0.074005, 0.067082, 0.052255
1.23562, 0.070611, 0.051141, 0.101616, 0.072768, 0.066369, 0.051479
1.23874, 0.070059, 0.050793, 0.101051, 0.072314, 0.066103, 0.051193
1.25681, 0.066969, 0.048782, 0.097797, 0.069713, 0.064535, 0.04954
1.27551, 0.064327, 0.046702, 0.094476, 0.067119, 0.062874, 0.04785
1.2767, 0.064164, 0.046567, 0.094267, 0.066958, 0.062767, 0.047743
1.29426, 0.061736, 0.044779, 0.091213, 0.06468, 0.061179, 0.046174
1.30091, 0.060813, 0.044189, 0.09008, 0.063868, 0.060572, 0.045583
1.30552, 0.060174, 0.043786, 0.089307, 0.063323, 0.060151, 0.045175
1.31834, 0.058409, 0.042674, 0.087229, 0.061864, 0.058976, 0.044043
1.34106, 0.055323, 0.040714, 0.08371, 0.059324, 0.056887, 0.042049
1.34122, 0.055302, 0.0407, 0.083686, 0.059306, 0.056873, 0.042036
1.3449, 0.054808, 0.040383, 0.083115, 0.058875, 0.056534, 0.041713
1.34942, 0.054205, 0.039995, 0.082413, 0.058334, 0.056119, 0.041319
1.39593, 0.048195, 0.036029, 0.075333, 0.052434, 0.051874, 0.037237
1.40799, 0.046701, 0.035011, 0.073566, 0.050958, 0.05079, 0.03616
1.41273, 0.046123, 0.034612, 0.072881, 0.050393, 0.050366, 0.035735
1.42294, 0.044893, 0.033755, 0.071424, 0.049203, 0.049461, 0.034815
1.45447, 0.041252, 0.031142, 0.067049, 0.045712, 0.046729, 0.031983
1.46501, 0.040094, 0.030285, 0.065619, 0.044589, 0.045833, 0.031047
1.46646, 0.039938, 0.030168, 0.065424, 0.044436, 0.045711, 0.03092
1.49502, 0.036953, 0.027913, 0.061619, 0.041459, 0.043308, 0.028444
1.50953, 0.035506, 0.026809, 0.059717, 0.039971, 0.042087, 0.027228
1.5261, 0.033904, 0.025583, 0.057567, 0.038286, 0.040683, 0.025875
1.55279, 0.031414, 0.02363, 0.05416, 0.035605, 0.03839, 0.023758
1.56214, 0.030563, 0.022906, 0.052985, 0.034676, 0.037582, 0.023029
1.573, 0.029586, 0.022038, 0.051638, 0.033605, 0.036642, 0.022188
1.58869, 0.028197, 0.020789, 0.049736, 0.032078, 0.035288, 0.020979
1.59105, 0.02799, 0.020606, 0.049457, 0.031852, 0.035085, 0.020798
1.61505, 0.025916, 0.018815, 0.046782, 0.029596, 0.033034, 0.018955
1.63183, 0.024498, 0.017636, 0.044994, 0.02808, 0.031623, 0.01767
1.63526, 0.024211, 0.0174, 0.044621, 0.027775, 0.031338, 0.017408
1.6454, 0.023368, 0.016707, 0.043506, 0.02688, 0.030501, 0.016633
1.66904, 0.021431, 0.01512, 0.040891, 0.024815, 0.028587, 0.014831
1.69261, 0.019536, 0.013564, 0.03834, 0.022788, 0.026727, 0.013045
1.6987, 0.019051, 0.013165, 0.037706, 0.022269, 0.026252, 0.012585
1.7152, 0.01775, 0.012089, 0.03608, 0.020878, 0.024978, 0.01135
1.72905, 0.016672, 0.011191, 0.034785, 0.01973, 0.023921, 0.010325
1.741, 0.015752, 0.010427, 0.033668, 0.018756, 0.023015, 0.009443
1.74516, 0.015433, 0.010164, 0.033274, 0.01842, 0.022701, 0.009133
1.74822, 0.015201, 0.009974, 0.032985, 0.018175, 0.022471, 0.008903
1.77672, 0.013067, 0.008265, 0.030272, 0.015925, 0.020337, 0.006722
1.78045, 0.012793, 0.008047, 0.029919, 0.015634, 0.02006, 0.006441
1.7921, 0.011949, 0.00737, 0.028821, 0.014731, 0.019197, 0.005576
1.8007, 0.011335, 0.006872, 0.028018, 0.014066, 0.018565, 0.004955
1.82315, 0.009768, 0.005574, 0.025952, 0.012323, 0.016927, 0.00338
1.84687, 0.008169, 0.004203, 0.023826, 0.010509, 0.015222, 0.001753
1.84759, 0.008121, 0.004161, 0.023763, 0.010455, 0.01517, 0.001703
1.8592, 0.007357, 0.003486, 0.022743, 0.009597, 0.014346, 0.000909
1.86224, 0.007158, 0.003308, 0.022477, 0.009375, 0.014132, 0.0007
1.86485, 0.006988, 0.003155, 0.02225, 0.009186, 0.013948, 0.000521
1.8956, 0.005009, 0.001256, 0.019614, 0.006986, 0.011806, -0.001633
1.89562, 0.005008, 0.001255, 0.019613, 0.006985, 0.011805, -0.001635
1.91811, 0.003589, -0.000156, 0.017729, 0.005387, 0.010262, -0.00331
1.93344, 0.002623, -0.001058, 0.016465, 0.004294, 0.009218, -0.004562
1.94811, 0.001691, -0.001908, 0.015271, 0.003234, 0.008224, -0.005965
1.97173, 0.000167, -0.003264, 0.013382, 0.001416, 0.006629, -0.009612
1.97287, 9.3e-05, -0.003329, 0.013291, 0.001322, 0.006551, -0.009598
2.04635, -0.004795, -0.007504, 0.007757, -0.004038, 0.001555, -0.00059
2.13974, -0.011153, -0.012771, 0.001739, -0.010454, -0.005106, 0.042428
